,runs,wickets,batting_sr,bowling_economy
DT Christian,145.0,9.0,118.85245901639345,8.520710059171597
AD Mathews,127.0,7.0,115.45454545454545,7.405063291139241
RA Jadeja,191.0,12.0,124.83660130718954,7.722222222222222
JEC Franklin,220.0,6.0,96.06986899563319,8.217391304347826
KA Pollard,220.0,18.0,134.96932515337423,7.384615384615385
Azhar Mahmood,186.0,14.0,128.2758620689655,7.49433962264151
DJ Bravo,371.0,20.0,136.90036900369006,7.801652892561983
PP Chawla,106.0,18.0,120.45454545454545,7.369942196531793
SR Watson,255.0,6.0,149.12280701754386,6.875
JH Kallis,409.0,16.0,104.07124681933841,7.321428571428571
Harbhajan Singh,108.0,6.0,131.70731707317074,6.967164179104477
JA Morkel,107.0,13.0,150.70422535211267,7.466666666666667
MN Samuels,124.0,9.0,100.0,7.397727272727273
IK Pathan,176.0,10.0,132.33082706766916,7.819672131147541
