,runs,wickets,batting_sr,bowling_economy
A Symonds,429.0,13.0,120.50561797752808,7.107692307692308
AD Mathews,233.0,8.0,118.27411167512692,8.269565217391303
KA Pollard,273.0,17.0,179.60526315789474,7.1072961373390555
PD Collingwood,203.0,5.0,127.67295597484276,6.733333333333333
SR Watson,185.0,7.0,158.1196581196581,7.985611510791366
JH Kallis,572.0,15.0,110.63829787234043,8.297142857142857
SK Raina,528.0,7.0,136.43410852713177,7.387755102040816
Harbhajan Singh,105.0,20.0,164.0625,6.916167664670659
YK Pathan,333.0,6.0,158.57142857142856,7.121495327102804
JA Morkel,199.0,14.0,147.40740740740742,8.338983050847459
RS Bopara,248.0,5.0,111.21076233183858,9.658536585365853
IK Pathan,276.0,17.0,146.80851063829786,9.0
Yuvraj Singh,259.0,6.0,125.72815533980584,6.690647482014388
