bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Kumble,422,389,16,19.0,64.83333333333333,6.508997429305913,22.210526315789473,20.473684210526315
A Mishra,371,329,14,20.0,54.833333333333336,6.76595744680851,18.55,16.45
A Mithun,39,20,1,1.0,3.3333333333333335,11.7,39.0,20.0
A Nehra,102,85,4,6.0,14.166666666666666,7.2,17.0,14.166666666666666
A Symonds,385,325,16,13.0,54.166666666666664,7.107692307692308,29.615384615384617,25.0
A Uniyal,67,38,2,3.0,6.333333333333333,10.578947368421053,22.333333333333332,12.666666666666666
AA Jhunjhunwala,69,39,5,0.0,6.5,10.615384615384615,inf,inf
AB Agarkar,207,136,7,4.0,22.666666666666668,9.13235294117647,51.75,34.0
AB Dinda,155,144,7,12.0,24.0,6.458333333333333,12.916666666666666,12.0
AB McDonald,138,85,4,8.0,14.166666666666666,9.741176470588236,17.25,10.625
AC Voges,76,56,7,1.0,9.333333333333334,8.142857142857142,76.0,56.0
AD Mascarenhas,66,48,2,4.0,8.0,8.25,16.5,12.0
AD Mathews,317,230,12,8.0,38.333333333333336,8.269565217391303,39.625,28.75
AG Murtaza,93,73,3,4.0,12.166666666666666,7.6438356164383565,23.25,18.25
AJ Finch,5,7,1,0.0,1.1666666666666667,4.285714285714286,inf,inf
AN Ahmed,26,14,1,0.0,2.3333333333333335,11.142857142857142,inf,inf
AP Dole,114,73,3,5.0,12.166666666666666,9.36986301369863,22.8,14.6
B Akhil,6,6,1,0.0,1.0,6.0,inf,inf
B Lee,154,91,4,0.0,15.166666666666666,10.153846153846155,inf,inf
BAW Mendis,68,50,2,2.0,8.333333333333334,8.16,34.0,25.0
BJ Hodge,41,30,4,2.0,5.0,8.2,20.5,15.0
Bipul Sharma,94,60,4,4.0,10.0,9.4,23.5,15.0
C Ganapathy,13,6,1,0.0,1.0,13.0,inf,inf
CH Gayle,153,102,6,4.0,17.0,9.0,38.25,25.5
CK Langeveldt,92,70,3,5.0,11.666666666666666,7.885714285714286,18.4,14.0
CL White,19,7,1,0.0,1.1666666666666667,16.285714285714285,inf,inf
CRD Fernando,142,121,5,7.0,20.166666666666668,7.041322314049586,20.285714285714285,17.285714285714285
DE Bollinger,213,193,8,13.0,32.166666666666664,6.6217616580310885,16.384615384615383,14.846153846153847
DJ Bravo,231,162,10,5.0,27.0,8.555555555555555,46.2,32.4
DJ Hussey,81,60,5,0.0,10.0,8.1,inf,inf
DL Vettori,98,72,3,3.0,12.0,8.166666666666666,32.666666666666664,24.0
DP Nannes,235,218,9,11.0,36.333333333333336,6.46788990825688,21.363636363636363,19.818181818181817
DR Smith,36,23,2,1.0,3.8333333333333335,9.391304347826086,36.0,23.0
DS Kulkarni,40,25,1,1.0,4.166666666666667,9.6,40.0,25.0
DW Steyn,415,382,15,17.0,63.666666666666664,6.518324607329843,24.41176470588235,22.470588235294116
