batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Ashish Reddy,35,30,5,4.0,8.75,116.66666666666667,1.0,3.0,10
A Chandila,0,1,1,1.0,0.0,0.0,0.0,0.0,0
A Mishra,16,21,5,3.0,5.333333333333333,76.19047619047619,0.0,1.0,8
A Nehra,11,13,2,1.0,11.0,84.61538461538461,0.0,1.0,9
A Singh,0,3,1,1.0,0.0,0.0,0.0,0.0,0
AA Chavan,11,8,2,1.0,11.0,137.5,0.0,2.0,7
AA Jhunjhunwala,24,27,3,2.0,12.0,88.88888888888889,1.0,1.0,19
AB Dinda,2,5,1,0.0,2.0,40.0,0.0,0.0,2
AB McDonald,47,36,3,2.0,23.5,130.55555555555557,2.0,6.0,30
AB de Villiers,319,203,13,8.0,39.875,157.14285714285714,15.0,26.0,64
AC Blizzard,0,3,1,1.0,0.0,0.0,0.0,0.0,0
AC Gilchrist,172,147,7,4.0,43.0,117.00680272108843,4.0,21.0,64
AC Thomas,19,15,2,2.0,9.5,126.66666666666666,1.0,1.0,12
AD Mascarenhas,14,16,3,3.0,4.666666666666667,87.5,0.0,1.0,9
AD Mathews,127,110,8,7.0,18.142857142857142,115.45454545454545,4.0,5.0,35
AD Russell,47,27,2,2.0,23.5,174.07407407407408,3.0,3.0,31
AG Murtaza,3,5,1,0.0,3.0,60.0,0.0,0.0,3
AJ Finch,55,52,2,2.0,27.5,105.76923076923077,0.0,8.0,30
AL Menaria,220,207,12,11.0,20.0,106.28019323671498,8.0,14.0,40
AM Nayar,45,49,4,2.0,22.5,91.83673469387756,1.0,2.0,24
AM Rahane,560,448,16,14.0,40.0,125.0,10.0,73.0,103
AP Majumdar,87,77,4,4.0,21.75,112.98701298701299,2.0,7.0,31
AT Rayudu,333,261,15,9.0,37.0,127.58620689655173,14.0,21.0,81
AUK Pathan,6,8,2,1.0,6.0,75.0,0.0,0.0,4
Ankit Sharma,18,13,4,3.0,6.0,138.46153846153845,2.0,0.0,15
Azhar Mahmood,186,145,10,8.0,23.25,128.2758620689655,8.0,16.0,36
B Chipli,37,35,4,3.0,12.333333333333334,105.71428571428572,2.0,3.0,25
B Kumar,40,41,8,3.0,13.333333333333334,97.5609756097561,0.0,4.0,11
B Lee,42,21,3,2.0,21.0,200.0,4.0,2.0,25
BA Bhatt,6,2,1,0.0,6.0,300.0,1.0,0.0,6
BB McCullum,289,287,12,13.0,22.23076923076923,100.69686411149826,3.0,37.0,56
BB Samantray,2,2,1,0.0,2.0,100.0,0.0,0.0,2
BJ Hodge,245,180,12,8.0,30.625,136.11111111111111,9.0,18.0,48
Bipul Sharma,72,47,4,2.0,36.0,153.19148936170214,3.0,6.0,35
CA Lynn,6,10,1,1.0,6.0,60.0,0.0,1.0,6
CA Pujara,17,23,3,3.0,5.666666666666667,73.91304347826086,1.0,1.0,11
CH Gayle,733,472,14,12.0,61.083333333333336,155.29661016949152,59.0,46.0,128
CJ Ferguson,50,63,4,4.0,12.5,79.36507936507937,0.0,3.0,23
CJ McKay,8,15,1,1.0,8.0,53.333333333333336,0.0,0.0,8
CL White,479,327,13,12.0,39.916666666666664,146.48318042813455,20.0,41.0,78
DA Miller,98,76,6,2.0,49.0,128.94736842105263,4.0,6.0,34
DA Warner,256,161,8,7.0,36.57142857142857,159.0062111801242,14.0,28.0,109
DAJ Bracewell,12,9,1,0.0,12.0,133.33333333333331,0.0,1.0,12
DB Das,126,96,10,1.0,126.0,131.25,6.0,9.0,35
DB Ravi Teja,4,4,2,2.0,2.0,100.0,0.0,1.0,4
DE Bollinger,3,5,1,1.0,3.0,60.0,0.0,0.0,3
DH Yagnik,25,14,3,1.0,25.0,178.57142857142858,0.0,5.0,10
DJ Bravo,371,271,16,8.0,46.375,136.90036900369006,20.0,20.0,48
DJ Harris,111,103,4,3.0,37.0,107.76699029126213,5.0,11.0,47
DJ Hussey,396,313,15,12.0,33.0,126.51757188498402,17.0,28.0,68
DJ Jacobs,0,10,1,1.0,0.0,0.0,0.0,0.0,0
DL Vettori,31,28,6,3.0,10.333333333333334,110.71428571428572,1.0,3.0,20
DPMD Jayawardene,335,306,15,10.0,33.5,109.47712418300655,3.0,39.0,56
DR Smith,157,102,6,4.0,39.25,153.921568627451,7.0,18.0,87
DS Kulkarni,10,5,1,0.0,10.0,200.0,0.0,2.0,10
DT Christian,145,122,7,5.0,29.0,118.85245901639345,6.0,8.0,39
DW Steyn,19,21,5,5.0,3.8,90.47619047619048,1.0,0.0,7
F du Plessis,398,310,12,11.0,36.18181818181818,128.38709677419357,17.0,29.0,73
G Gambhir,590,429,17,14.0,42.142857142857146,137.52913752913753,17.0,64.0,93
GB Hogg,15,16,2,2.0,7.5,93.75,0.0,1.0,13
GJ Maxwell,6,11,2,1.0,6.0,54.54545454545454,0.0,0.0,3
Gurkeerat Singh,86,54,4,3.0,28.666666666666668,159.25925925925927,2.0,12.0,29
HH Gibbs,81,91,3,2.0,40.5,89.01098901098901,2.0,8.0,66
HV Patel,15,17,3,2.0,7.5,88.23529411764706,0.0,1.0,10
Harbhajan Singh,108,82,11,9.0,12.0,131.70731707317074,3.0,14.0,33
Harmeet Singh,15,7,2,1.0,15.0,214.28571428571428,0.0,3.0,14
Harpreet Singh,6,6,1,1.0,6.0,100.0,0.0,0.0,6
IK Pathan,176,133,12,7.0,25.142857142857142,132.33082706766916,6.0,14.0,42
IR Jaggi,15,22,3,2.0,7.5,68.18181818181817,0.0,0.0,10
Iqbal Abdulla,2,3,2,0.0,2.0,66.66666666666666,0.0,0.0,1
J Botha,58,55,7,4.0,14.5,105.45454545454544,1.0,4.0,14
J Syed Mohammad,4,1,1,0.0,4.0,400.0,0.0,1.0,4
J Theron,7,6,1,0.0,7.0,116.66666666666667,0.0,1.0,7
JA Morkel,107,71,12,7.0,15.285714285714286,150.70422535211267,6.0,5.0,28
JD Ryder,256,216,11,11.0,23.272727272727273,118.5185185185185,8.0,23.0,86
JEC Franklin,220,229,11,9.0,24.444444444444443,96.06986899563319,7.0,15.0,79
JH Kallis,409,393,17,17.0,24.058823529411764,104.07124681933841,10.0,34.0,79
JP Duminy,244,195,9,3.0,81.33333333333333,125.12820512820512,11.0,13.0,74
JP Faulkner,14,14,2,1.0,14.0,100.0,0.0,0.0,11
K Upadhyay,11,8,1,0.0,11.0,137.5,1.0,0.0,11
KA Pollard,220,163,11,9.0,24.444444444444443,134.96932515337423,14.0,15.0,64
KC Sangakkara,200,190,12,11.0,18.181818181818183,105.26315789473684,4.0,21.0,82
KD Karthik,238,217,14,15.0,15.866666666666667,109.6774193548387,2.0,30.0,44
KK Cooper,38,20,4,2.0,19.0,190.0,3.0,3.0,14
KMDN Kulasekara,5,3,1,0.0,5.0,166.66666666666669,0.0,1.0,5
