,matches,wins,losses,points,nrr,runs,wickets
CSK,16,11,5,22,0.0,0,0
KKR,17,9,8,18,0.0,0,0
RCB,15,9,6,18,0.0,0,0
DC,16,9,6,18,0.0,0,0
MI,14,7,7,14,0.0,0,0
PBKS,14,6,8,12,0.0,0,0
RR,14,5,9,10,0.0,0,0
SRH,14,3,10,6,0.0,0,0
