bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Ashish Reddy,238,169,9,11.0,28.166666666666668,8.449704142011834,21.636363636363637,15.363636363636363
A Chandila,87,84,4,5.0,14.0,6.214285714285714,17.4,16.8
A Mishra,381,289,14,13.0,48.166666666666664,7.9100346020761245,29.307692307692307,22.23076923076923
A Mithun,34,19,1,0.0,3.1666666666666665,10.736842105263158,inf,inf
A Nehra,411,291,13,12.0,48.5,8.474226804123711,34.25,24.25
A Singh,317,204,9,12.0,34.0,9.323529411764707,26.416666666666668,17.0
AA Chavan,245,169,8,7.0,28.166666666666668,8.698224852071005,35.0,24.142857142857142
AA Jhunjhunwala,39,36,3,1.0,6.0,6.5,39.0,36.0
AB Agarkar,134,90,4,4.0,15.0,8.933333333333334,33.5,22.5
AB Dinda,171,154,7,10.0,25.666666666666668,6.662337662337662,17.1,15.4
AB McDonald,63,61,3,5.0,10.166666666666666,6.19672131147541,12.6,12.2
AC Thomas,116,87,4,5.0,14.5,8.0,23.2,17.4
AD Mascarenhas,110,97,4,7.0,16.166666666666668,6.804123711340206,15.714285714285714,13.857142857142858
AD Mathews,195,158,9,7.0,26.333333333333332,7.405063291139241,27.857142857142858,22.571428571428573
AD Russell,162,98,4,1.0,16.333333333333332,9.918367346938776,162.0,98.0
AG Murtaza,11,12,1,0.0,2.0,5.5,inf,inf
AL Menaria,23,20,3,1.0,3.3333333333333335,6.8999999999999995,23.0,20.0
AM Nayar,16,6,1,0.0,1.0,16.0,inf,inf
AN Ahmed,17,13,1,0.0,2.1666666666666665,7.846153846153847,inf,inf
AUK Pathan,14,6,1,0.0,1.0,14.0,inf,inf
Anand Rajan,113,76,4,3.0,12.666666666666666,8.921052631578947,37.666666666666664,25.333333333333332
Ankit Sharma,167,147,9,4.0,24.5,6.816326530612245,41.75,36.75
Azhar Mahmood,331,265,11,14.0,44.166666666666664,7.49433962264151,23.642857142857142,18.928571428571427
B Kumar,293,240,11,9.0,40.0,7.325,32.55555555555556,26.666666666666668
B Lee,303,234,10,7.0,39.0,7.769230769230769,43.285714285714285,33.42857142857143
BA Bhatt,143,100,5,3.0,16.666666666666668,8.58,47.666666666666664,33.333333333333336
BJ Hodge,22,12,2,1.0,2.0,11.0,22.0,12.0
BW Hilfenhaus,242,215,9,14.0,35.833333333333336,6.753488372093023,17.285714285714285,15.357142857142858
Bipul Sharma,82,48,3,0.0,8.0,10.25,inf,inf
CH Gayle,67,30,3,0.0,5.0,13.4,inf,inf
CJ McKay,60,42,2,1.0,7.0,8.571428571428571,60.0,42.0
CL White,27,20,2,0.0,3.3333333333333335,8.1,inf,inf
DAJ Bracewell,32,25,1,3.0,4.166666666666667,7.68,10.666666666666666,8.333333333333334
DE Bollinger,160,113,6,10.0,18.833333333333332,8.495575221238939,16.0,11.3
DJ Bravo,472,363,18,20.0,60.5,7.801652892561983,23.6,18.15
DJ Harris,26,18,2,0.0,3.0,8.666666666666666,inf,inf
DJ Hussey,67,55,6,3.0,9.166666666666666,7.3090909090909095,22.333333333333332,18.333333333333332
DL Vettori,241,212,9,6.0,35.333333333333336,6.820754716981131,40.166666666666664,35.333333333333336
DR Smith,98,79,6,3.0,13.166666666666666,7.443037974683545,32.666666666666664,26.333333333333332
DS Kulkarni,64,53,2,6.0,8.833333333333334,7.245283018867924,10.666666666666666,8.833333333333334
DT Christian,240,169,7,9.0,28.166666666666668,8.520710059171597,26.666666666666668,18.77777777777778
DW Steyn,290,289,12,18.0,48.166666666666664,6.02076124567474,16.11111111111111,16.055555555555557
F du Plessis,16,6,1,0.0,1.0,16.0,inf,inf
GB Hogg,262,220,9,10.0,36.666666666666664,7.1454545454545455,26.2,22.0
GJ Maxwell,22,19,2,2.0,3.1666666666666665,6.947368421052632,11.0,9.5
HV Patel,352,249,11,9.0,41.5,8.481927710843374,39.111111111111114,27.666666666666668
Harbhajan Singh,389,335,16,6.0,55.833333333333336,6.967164179104477,64.83333333333333,55.833333333333336
Harmeet Singh,196,141,7,7.0,23.5,8.340425531914894,28.0,20.142857142857142
IK Pathan,477,366,17,10.0,61.0,7.819672131147541,47.7,36.6
Iqbal Abdulla,147,134,8,4.0,22.333333333333332,6.5820895522388065,36.75,33.5
J Botha,304,251,11,9.0,41.833333333333336,7.266932270916334,33.77777777777778,27.88888888888889
J Syed Mohammad,66,43,2,1.0,7.166666666666667,9.209302325581396,66.0,43.0
J Theron,66,51,2,3.0,8.5,7.764705882352941,22.0,17.0
JA Morkel,392,315,15,13.0,52.5,7.466666666666667,30.153846153846153,24.23076923076923
JD Ryder,74,43,4,1.0,7.166666666666667,10.325581395348836,74.0,43.0
JD Unadkat,32,18,1,0.0,3.0,10.666666666666666,inf,inf
JEC Franklin,126,92,9,6.0,15.333333333333334,8.217391304347826,21.0,15.333333333333334
JH Kallis,410,336,16,16.0,56.0,7.321428571428571,25.625,21.0
JP Duminy,104,78,6,1.0,13.0,8.0,104.0,78.0
JP Faulkner,74,49,2,3.0,8.166666666666666,9.061224489795919,24.666666666666668,16.333333333333332
K Upadhyay,33,24,1,0.0,4.0,8.25,inf,inf
KA Pollard,352,286,14,18.0,47.666666666666664,7.384615384615385,19.555555555555557,15.88888888888889
KK Cooper,187,149,6,10.0,24.833333333333332,7.530201342281879,18.7,14.9
KMDN Kulasekara,96,88,4,5.0,14.666666666666666,6.545454545454546,19.2,17.6
KP Appanna,149,107,6,6.0,17.833333333333332,8.355140186915888,24.833333333333332,17.833333333333332
KP Pietersen,53,40,3,1.0,6.666666666666667,7.949999999999999,53.0,40.0
L Balaji,169,189,8,12.0,31.5,5.365079365079365,14.083333333333334,15.75
LJ Wright,24,12,1,0.0,2.0,12.0,inf,inf
LR Shukla,12,12,2,1.0,2.0,6.0,12.0,12.0
M Kartik,267,225,11,4.0,37.5,7.12,66.75,56.25
M Morkel,466,389,16,30.0,64.83333333333333,7.187660668380463,15.533333333333333,12.966666666666667
M Muralitharan,264,245,10,15.0,40.833333333333336,6.465306122448979,17.6,16.333333333333332
M de Lange,108,64,3,3.0,10.666666666666666,10.125,36.0,21.333333333333332
MJ Clarke,72,66,5,3.0,11.0,6.545454545454546,24.0,22.0
MM Patel,374,288,12,17.0,48.0,7.791666666666667,22.0,16.941176470588236
MN Samuels,217,176,8,9.0,29.333333333333332,7.397727272727273,24.11111111111111,19.555555555555557
MS Gony,217,151,6,4.0,25.166666666666668,8.62251655629139,54.25,37.75
NLTC Perera,27,15,2,0.0,2.5,10.8,inf,inf
P Awana,382,296,12,18.0,49.333333333333336,7.743243243243243,21.22222222222222,16.444444444444443
P Kumar,445,395,16,12.0,65.83333333333333,6.759493670886076,37.083333333333336,32.916666666666664
P Negi,153,133,6,7.0,22.166666666666668,6.902255639097744,21.857142857142858,19.0
P Parameswaran,89,62,3,5.0,10.333333333333334,8.612903225806452,17.8,12.4
PC Valthaty,16,6,1,0.0,1.0,16.0,inf,inf
PJ Sangwan,42,25,1,1.0,4.166666666666667,10.08,42.0,25.0
PP Chawla,425,346,16,18.0,57.666666666666664,7.369942196531793,23.61111111111111,19.22222222222222
PP Ojha,222,186,9,10.0,31.0,7.161290322580645,22.2,18.6
Pankaj Singh,171,127,6,7.0,21.166666666666668,8.078740157480315,24.428571428571427,18.142857142857142
R Ashwin,439,402,18,19.0,67.0,6.552238805970149,23.105263157894736,21.157894736842106
R Bhatia,400,323,16,17.0,53.833333333333336,7.430340557275541,23.529411764705884,19.0
R Sharma,305,224,11,9.0,37.333333333333336,8.169642857142856,33.888888888888886,24.88888888888889
R Shukla,32,19,1,0.0,3.1666666666666665,10.105263157894738,inf,inf
