batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
Pankaj Singh,9,5,9,1,3,5.0,55.55555555555556
Pankaj Singh,10,1,2,1,1,1.0,50.0
Parvez Rasool,7,10,9,1,1,10.0,111.11111111111111
Parvez Rasool,8,6,7,0,2,6.0,85.71428571428571
Parvez Rasool,9,1,4,1,1,1.0,25.0
Q de Kock,1,1794,1370,60,64,29.9,130.94890510948903
Q de Kock,2,1219,927,36,39,33.861111111111114,131.4994606256742
Q de Kock,3,108,81,4,4,27.0,133.33333333333331
Q de Kock,4,39,32,1,1,39.0,121.875
R Ashwin,2,11,17,2,2,5.5,64.70588235294117
R Ashwin,3,75,57,4,4,18.75,131.57894736842107
R Ashwin,4,29,25,1,1,29.0,115.99999999999999
R Ashwin,5,159,125,6,7,26.5,127.2
R Ashwin,6,52,66,7,8,7.428571428571429,78.78787878787878
R Ashwin,7,164,112,13,18,12.615384615384615,146.42857142857142
R Ashwin,8,225,217,18,36,12.5,103.68663594470047
R Ashwin,9,51,46,6,8,8.5,110.86956521739131
R Ashwin,10,34,33,2,5,17.0,103.03030303030303
R Bhatia,4,17,14,1,1,17.0,121.42857142857142
R Bhatia,5,1,3,0,1,1.0,33.33333333333333
R Bhatia,6,38,47,2,4,19.0,80.85106382978722
R Bhatia,7,169,139,14,20,12.071428571428571,121.58273381294964
R Bhatia,8,93,68,8,13,11.625,136.76470588235296
R Bhatia,9,14,14,4,6,3.5,100.0
R Bhatia,10,10,5,0,2,10.0,200.0
R Bishnoi,2,18,14,1,1,18.0,128.57142857142858
R Bishnoi,7,1,2,1,1,1.0,50.0
R Bishnoi,8,0,1,1,1,0.0,0.0
R Dhawan,6,6,6,1,1,6.0,100.0
R Dhawan,7,105,98,4,8,26.25,107.14285714285714
R Dhawan,8,98,83,5,12,19.6,118.07228915662651
R Dhawan,9,1,1,0,1,1.0,100.0
R Dravid,1,743,684,27,27,27.51851851851852,108.62573099415205
R Dravid,2,536,491,16,18,33.5,109.16496945010184
R Dravid,3,264,230,9,9,29.333333333333332,114.78260869565217
R Dravid,4,214,209,13,13,16.46153846153846,102.39234449760765
R Dravid,5,250,197,7,7,35.714285714285715,126.90355329949239
R Dravid,6,142,90,3,4,47.333333333333336,157.77777777777777
R Dravid,7,19,14,2,3,9.5,135.71428571428572
R Dravid,8,6,3,0,1,6.0,200.0
R McLaren,1,40,43,1,1,40.0,93.02325581395348
R McLaren,5,9,14,1,1,9.0,64.28571428571429
R McLaren,6,2,8,1,1,2.0,25.0
R McLaren,7,81,83,2,4,40.5,97.59036144578313
R McLaren,8,27,27,2,4,13.5,100.0
R McLaren,9,0,3,1,2,0.0,0.0
R Ninan,9,3,6,1,1,3.0,50.0
R Parag,4,595,427,13,16,45.76923076923077,139.34426229508196
R Parag,5,146,121,8,9,18.25,120.66115702479338
R Parag,6,356,282,19,26,18.736842105263158,126.24113475177306
R Parag,7,76,79,7,7,10.857142857142858,96.20253164556962
R Powell,3,3,10,1,1,3.0,30.0
R Powell,5,82,56,4,5,20.5,146.42857142857142
R Powell,6,141,110,8,8,17.625,128.1818181818182
R Powell,7,66,37,4,5,16.5,178.3783783783784
R Powell,8,68,41,3,3,22.666666666666668,165.85365853658536
R Rampaul,6,0,7,2,2,0.0,0.0
R Rampaul,7,3,4,1,1,3.0,75.0
R Rampaul,8,12,10,1,2,12.0,120.0
R Rampaul,9,36,31,1,2,36.0,116.12903225806453
R Ravindra,1,54,36,3,3,18.0,150.0
R Ravindra,2,107,72,5,6,21.4,148.61111111111111
R Ravindra,3,61,38,1,1,61.0,160.5263157894737
R Sai Kishore,9,13,6,1,1,13.0,216.66666666666666
R Sanjay Yadav,7,0,2,1,1,0.0,0.0
R Sathish,1,0,7,1,1,0.0,0.0
R Sathish,4,5,9,1,1,5.0,55.55555555555556
R Sathish,5,66,41,2,4,33.0,160.97560975609758
R Sathish,6,98,85,5,7,19.6,115.29411764705881
R Sathish,7,83,72,7,10,11.857142857142858,115.27777777777777
R Sathish,8,18,22,0,1,18.0,81.81818181818183
R Sharma,8,11,15,1,4,11.0,73.33333333333333
R Sharma,9,44,40,5,7,8.8,110.00000000000001
R Sharma,10,11,21,5,7,2.2,52.38095238095239
R Sharma,11,0,1,0,1,0.0,0.0
R Shepherd,6,0,1,1,1,0.0,0.0
R Shepherd,7,106,55,4,6,26.5,192.72727272727272
R Shepherd,8,9,12,1,2,9.0,75.0
R Shukla,8,5,11,1,3,5.0,45.45454545454545
R Shukla,10,14,12,1,1,14.0,116.66666666666667
R Tewatia,4,53,32,1,1,53.0,165.625
R Tewatia,5,81,61,5,6,16.2,132.78688524590163
R Tewatia,6,419,307,17,26,24.647058823529413,136.48208469055373
R Tewatia,7,424,366,20,28,21.2,115.84699453551912
R Tewatia,8,36,22,0,4,36.0,163.63636363636365
R Vinay Kumar,7,15,15,1,2,15.0,100.0
R Vinay Kumar,8,170,159,15,22,11.333333333333334,106.91823899371069
R Vinay Kumar,9,97,90,8,13,12.125,107.77777777777777
R Vinay Kumar,10,27,24,2,4,13.5,112.5
R Vinay Kumar,11,1,1,0,1,1.0,100.0
RA Bawa,5,11,14,2,2,5.5,78.57142857142857
RA Jadeja,3,63,50,2,3,31.5,126.0
RA Jadeja,4,334,233,8,13,41.75,143.34763948497854
RA Jadeja,5,701,600,32,47,21.90625,116.83333333333333
RA Jadeja,6,1154,904,44,65,26.227272727272727,127.65486725663717
RA Jadeja,7,633,534,25,45,25.32,118.53932584269661
RA Jadeja,8,74,57,3,7,24.666666666666668,129.82456140350877
RA Tripathi,1,249,194,5,6,49.8,128.35051546391753
RA Tripathi,2,633,451,20,22,31.65,140.35476718403547
RA Tripathi,3,1065,766,39,43,27.307692307692307,139.03394255874673
RA Tripathi,4,138,102,6,8,23.0,135.29411764705884
RA Tripathi,5,49,57,6,6,8.166666666666666,85.96491228070175
RA Tripathi,6,45,36,2,4,22.5,125.0
RA Tripathi,7,19,24,1,2,19.0,79.16666666666666
RA Tripathi,8,38,20,2,2,19.0,190.0
RD Chahar,8,10,12,4,4,2.5,83.33333333333334
RD Chahar,9,91,93,10,16,9.1,97.84946236559139
RD Chahar,10,28,22,2,2,14.0,127.27272727272727
RD Gaikwad,1,1632,1235,43,47,37.95348837209303,132.14574898785426
RD Gaikwad,2,617,438,9,12,68.55555555555556,140.8675799086758
RD Gaikwad,3,126,94,2,3,63.0,134.04255319148936
RD Gaikwad,4,5,13,1,2,5.0,38.46153846153847
RD Gaikwad,5,0,1,1,1,0.0,0.0
RE Levi,1,80,65,5,5,16.0,123.07692307692308
RE Levi,2,3,9,1,1,3.0,33.33333333333333
RE van der Merwe,2,8,9,1,1,8.0,88.88888888888889
RE van der Merwe,3,57,44,3,3,19.0,129.54545454545453
RE van der Merwe,6,9,9,1,1,9.0,100.0
RE van der Merwe,7,35,45,4,4,8.75,77.77777777777779
RE van der Merwe,8,50,37,3,6,16.666666666666668,135.13513513513513
RG More,11,2,2,0,1,2.0,100.0
RG Sharma,1,1802,1389,61,65,29.540983606557376,129.73362131029518
RG Sharma,2,872,735,37,38,23.56756756756757,118.63945578231292
RG Sharma,3,1106,817,43,42,25.72093023255814,135.3733170134639
RG Sharma,4,2299,1827,70,83,32.84285714285714,125.83470169677067
RG Sharma,5,533,391,20,22,26.65,136.31713554987212
RG Sharma,6,5,12,0,1,5.0,41.66666666666667
RG Sharma,7,13,12,1,1,13.0,108.33333333333333
RJ Gleeson,11,2,2,0,1,2.0,100.0
RJ Harris,7,15,11,0,2,15.0,136.36363636363635
RJ Harris,8,64,58,8,13,8.0,110.34482758620689
RJ Harris,9,38,43,4,6,9.5,88.37209302325581
RJ Peterson,4,13,14,1,1,13.0,92.85714285714286
RJ Peterson,7,1,9,1,2,1.0,11.11111111111111
RJ Peterson,8,18,9,1,2,18.0,200.0
RJ Quiney,1,89,93,4,4,22.25,95.6989247311828
RJ Quiney,2,1,2,1,1,1.0,50.0
RJ Quiney,3,13,10,2,2,6.5,130.0
RJW Topley,10,3,6,0,1,3.0,50.0
RK Bhui,1,0,5,1,1,0.0,0.0
RK Bhui,3,0,2,1,1,0.0,0.0
RK Bhui,4,7,13,1,1,7.0,53.84615384615385
RK Bhui,5,3,7,1,1,3.0,42.857142857142854
RK Singh,3,11,11,1,1,11.0,100.0
RK Singh,4,11,11,1,1,11.0,100.0
RK Singh,5,381,277,7,11,54.42857142857143,137.5451263537906
RK Singh,6,305,236,13,18,23.46153846153846,129.23728813559322
RK Singh,7,159,100,6,7,26.5,159.0
RK Singh,8,26,19,1,2,26.0,136.8421052631579
RM Patidar,2,64,57,2,2,32.0,112.28070175438596
RM Patidar,3,358,250,10,10,35.8,143.2
RM Patidar,4,353,205,10,10,35.3,172.1951219512195
RM Patidar,5,24,22,2,2,12.0,109.09090909090908
RN ten Doeschate,4,12,7,2,1,6.0,171.42857142857142
RN ten Doeschate,5,106,74,4,5,26.5,143.24324324324326
RN ten Doeschate,6,154,116,7,10,22.0,132.75862068965517
RN ten Doeschate,7,43,27,3,4,14.333333333333334,159.25925925925927
RN ten Doeschate,8,11,14,1,1,11.0,78.57142857142857
RP Meredith,10,0,1,1,1,0.0,0.0
RP Meredith,11,0,2,0,1,0.0,0.0
RP Singh,7,10,4,1,1,10.0,250.0
RP Singh,8,5,6,2,2,2.5,83.33333333333334
RP Singh,9,19,37,7,10,2.7142857142857144,51.35135135135135
RP Singh,10,15,24,3,10,5.0,62.5
RP Singh,11,3,7,2,5,1.5,42.857142857142854
RR Bhatkal,8,0,2,2,1,0.0,0.0
RR Pant,1,15,20,1,4,15.0,75.0
RR Pant,2,122,84,3,4,40.666666666666664,145.23809523809524
RR Pant,3,466,286,11,13,42.36363636363637,162.93706293706293
RR Pant,4,1840,1300,54,57,34.074074074074076,141.53846153846155
RR Pant,5,744,525,22,29,33.81818181818182,141.7142857142857
RR Pant,6,102,74,4,4,25.5,137.83783783783784
RR Pant,7,4,3,0,1,4.0,133.33333333333331
RR Pant,8,4,4,1,1,4.0,100.0
RR Powar,9,58,58,3,7,19.333333333333332,100.0
RR Powar,10,9,6,0,2,9.0,150.0
RR Raje,9,20,18,1,5,20.0,111.11111111111111
RR Rossouw,1,1,4,1,1,1.0,25.0
RR Rossouw,2,97,49,3,3,32.333333333333336,197.9591836734694
RR Rossouw,3,224,135,7,8,32.0,165.92592592592592
RR Rossouw,4,62,60,4,5,15.5,103.33333333333334
RR Rossouw,5,65,58,3,3,21.666666666666668,112.06896551724137
RR Rossouw,6,24,15,3,2,8.0,160.0
RR Sarwan,2,15,15,0,1,15.0,100.0
RR Sarwan,3,31,32,1,1,31.0,96.875
RR Sarwan,4,20,22,1,1,20.0,90.9090909090909
RR Sarwan,5,7,9,1,1,7.0,77.77777777777779
RS Bopara,1,336,301,14,12,24.0,111.62790697674419
RS Bopara,3,43,34,2,2,21.5,126.47058823529412
RS Bopara,4,42,34,0,1,42.0,123.52941176470588
RS Bopara,5,62,55,2,3,31.0,112.72727272727272
RS Bopara,6,48,44,1,4,48.0,109.09090909090908
RS Gavaskar,8,2,8,1,1,2.0,25.0
RS Sodhi,6,4,2,0,1,4.0,200.0
RT Ponting,1,48,67,4,4,12.0,71.64179104477611
RT Ponting,2,4,9,1,1,4.0,44.44444444444444
RT Ponting,3,39,53,3,4,13.0,73.58490566037736
RV Gomez,4,0,1,1,1,0.0,0.0
RV Gomez,6,0,1,1,1,0.0,0.0
RV Gomez,7,50,51,5,7,10.0,98.0392156862745
RV Patel,5,18,20,1,1,18.0,90.0
RV Patel,6,23,28,2,3,11.5,82.14285714285714
RV Patel,8,39,28,2,3,19.5,139.28571428571428
RV Uthappa,1,2086,1620,70,73,29.8,128.76543209876544
RV Uthappa,2,157,146,8,9,19.625,107.53424657534248
RV Uthappa,3,1580,1171,53,57,29.81132075471698,134.92741246797607
RV Uthappa,4,797,702,35,40,22.771428571428572,113.53276353276354
RV Uthappa,5,210,187,13,12,16.153846153846153,112.29946524064172
RV Uthappa,6,87,67,2,3,43.5,129.8507462686567
RV Uthappa,7,37,34,3,4,12.333333333333334,108.8235294117647
Rahmanullah Gurbaz,1,142,125,6,6,23.666666666666668,113.6
Rahmanullah Gurbaz,2,137,87,6,6,22.833333333333332,157.47126436781608
Rahmanullah Gurbaz,4,10,16,1,1,10.0,62.5
Ramandeep Singh,4,12,17,1,1,12.0,70.58823529411765
Ramandeep Singh,6,61,35,2,3,30.5,174.28571428571428
Ramandeep Singh,7,39,23,2,4,19.5,169.56521739130434
Ramandeep Singh,8,42,20,0,3,42.0,210.0
Ramandeep Singh,9,16,11,1,2,16.0,145.45454545454547
Rashid Khan,5,5,5,1,2,5.0,100.0
Rashid Khan,6,16,14,2,3,8.0,114.28571428571428
Rashid Khan,7,151,81,8,12,18.875,186.41975308641975
Rashid Khan,8,294,220,26,40,11.307692307692308,133.63636363636365
Rashid Khan,9,79,35,0,1,79.0,225.71428571428572
Rasikh Salam,8,19,15,2,2,9.5,126.66666666666666
Rasikh Salam,9,1,5,1,1,1.0,20.0
Rasikh Salam,10,20,20,2,3,10.0,100.0
Ravi Bishnoi,8,13,22,3,5,4.333333333333333,59.09090909090909
Ravi Bishnoi,9,9,21,3,4,3.0,42.857142857142854
Ravi Bishnoi,10,10,9,1,5,10.0,111.11111111111111
S Anirudha,1,64,59,3,3,21.333333333333332,108.47457627118644
S Anirudha,2,1,8,1,1,1.0,12.5
S Anirudha,6,12,17,2,2,6.0,70.58823529411765
S Anirudha,7,58,36,2,5,29.0,161.11111111111111
S Anirudha,8,1,1,0,1,1.0,100.0
S Aravind,8,4,8,2,2,2.0,50.0
S Aravind,9,9,16,1,1,9.0,56.25
S Aravind,10,33,25,0,5,33.0,132.0
S Aravind,11,13,10,0,2,13.0,130.0
S Badree,7,0,3,1,1,0.0,0.0
S Badree,8,3,3,1,1,3.0,100.0
S Badree,9,10,19,3,3,3.3333333333333335,52.63157894736842
S Badrinath,1,15,23,2,2,7.5,65.21739130434783
S Badrinath,2,82,66,2,2,41.0,124.24242424242425
S Badrinath,3,229,210,4,6,57.25,109.04761904761904
S Badrinath,4,832,693,20,25,41.6,120.05772005772006
S Badrinath,5,89,90,6,7,14.833333333333334,98.88888888888889
S Badrinath,6,88,84,9,11,9.777777777777779,104.76190476190477
S Badrinath,7,97,73,5,10,19.4,132.87671232876713
S Badrinath,8,9,6,0,2,9.0,150.0
S Chanderpaul,1,18,21,2,2,9.0,85.71428571428571
S Chanderpaul,2,7,12,1,1,7.0,58.333333333333336
S Dhawan,1,1137,882,34,37,33.44117647058823,128.91156462585033
S Dhawan,2,4526,3675,131,147,34.54961832061068,123.156462585034
S Dhawan,3,963,800,24,29,40.125,120.37500000000001
S Dhawan,4,81,74,3,4,27.0,109.45945945945945
S Dhawan,5,16,13,0,1,16.0,123.07692307692308
S Dhawan,6,7,11,1,1,7.0,63.63636363636363
S Dhawan,7,39,28,1,2,39.0,139.28571428571428
S Dube,3,160,115,7,8,22.857142857142858,139.1304347826087
S Dube,4,736,483,16,20,46.0,152.38095238095238
S Dube,5,410,321,15,20,27.333333333333332,127.72585669781931
S Dube,6,154,120,9,9,17.11111111111111,128.33333333333334
S Dube,7,42,38,3,4,14.0,110.5263157894737
S Gopal,5,12,18,1,1,12.0,66.66666666666666
S Gopal,7,21,26,2,3,10.5,80.76923076923077
S Gopal,8,79,78,6,9,13.166666666666666,101.28205128205127
S Gopal,9,60,46,4,7,15.0,130.43478260869566
S Gopal,10,8,5,0,2,8.0,160.0
S Kaul,9,1,5,1,2,1.0,20.0
S Kaul,10,10,19,1,4,10.0,52.63157894736842
S Kaul,11,9,12,1,3,9.0,75.0
S Kaushik,11,0,1,1,1,0.0,0.0
S Ladda,9,0,9,1,1,0.0,0.0
S Ladda,10,0,1,1,1,0.0,0.0
S Lamichhane,11,0,1,1,1,0.0,0.0
S Nadeem,8,14,30,6,6,2.3333333333333335,46.666666666666664
S Nadeem,9,9,27,4,6,2.25,33.33333333333333
S Nadeem,10,16,29,4,6,4.0,55.172413793103445
S Nadeem,11,0,2,2,2,0.0,0.0
S Narwal,7,23,17,2,2,11.5,135.29411764705884
S Narwal,8,2,2,1,1,2.0,100.0
S Narwal,9,12,10,1,1,12.0,120.0
S Rana,4,18,16,1,1,18.0,112.5
S Rana,6,50,44,3,5,16.666666666666668,113.63636363636364
S Rana,7,23,22,1,2,23.0,104.54545454545455
S Randiv,10,2,4,1,1,2.0,50.0
S Sohal,1,344,280,14,16,24.571428571428573,122.85714285714286
S Sohal,3,20,22,1,1,20.0,90.9090909090909
S Sohal,7,4,9,3,3,1.3333333333333333,44.44444444444444
S Sreesanth,8,1,2,0,1,1.0,50.0
S Sreesanth,9,1,8,1,2,1.0,12.5
S Sreesanth,10,32,47,2,9,16.0,68.08510638297872
S Sriram,1,27,31,1,1,27.0,87.09677419354838
S Sriram,4,4,7,1,1,4.0,57.14285714285714
S Tyagi,11,3,4,0,1,3.0,75.0
S Vidyut,1,64,42,3,3,21.333333333333332,152.38095238095238
S Vidyut,2,27,32,3,3,9.0,84.375
S Vidyut,3,54,38,1,1,54.0,142.10526315789474
S Vidyut,7,0,3,1,1,0.0,0.0
SA Abbott,7,22,18,2,3,11.0,122.22222222222223
SA Asnodkar,1,17,18,3,3,5.666666666666667,94.44444444444444
SA Asnodkar,2,355,286,12,12,29.583333333333332,124.12587412587412
SA Asnodkar,3,51,48,4,4,12.75,106.25
SA Yadav,1,441,332,13,13,33.92307692307692,132.83132530120483
SA Yadav,2,178,141,3,5,59.333333333333336,126.24113475177306
SA Yadav,3,1415,977,43,50,32.906976744186046,144.83111566018422
SA Yadav,4,994,666,29,32,34.275862068965516,149.24924924924926
SA Yadav,5,242,153,8,8,30.25,158.16993464052288
SA Yadav,6,97,98,9,12,10.777777777777779,98.9795918367347
SA Yadav,7,206,131,6,13,34.333333333333336,157.25190839694656
SA Yadav,8,21,24,1,3,21.0,87.5
SB Bangar,6,5,15,2,2,2.5,33.33333333333333
SB Bangar,7,30,33,3,4,10.0,90.9090909090909
SB Bangar,8,14,10,1,1,14.0,140.0
SB Dubey,5,25,14,1,1,25.0,178.57142857142858
SB Dubey,6,8,7,1,2,8.0,114.28571428571428
SB Jakati,8,20,16,2,2,10.0,125.0
SB Jakati,9,1,2,0,1,1.0,50.0
SB Jakati,10,6,10,0,1,6.0,60.0
SB Jakati,11,1,2,0,1,1.0,50.0
SB Joshi,8,3,8,1,1,3.0,37.5
SB Joshi,11,3,8,1,1,3.0,37.5
SB Styris,3,69,73,2,3,34.5,94.52054794520548
SB Styris,4,5,11,1,1,5.0,45.45454545454545
SB Styris,5,43,36,2,2,21.5,119.44444444444444
SB Styris,6,14,14,2,4,7.0,100.0
SB Wagh,8,0,1,1,1,0.0,0.0
SB Wagh,10,2,2,1,1,2.0,100.0
SC Ganguly,1,378,330,10,11,37.8,114.54545454545455
SC Ganguly,2,457,417,19,19,24.05263157894737,109.59232613908874
SC Ganguly,3,289,331,15,16,19.266666666666666,87.31117824773413
SC Ganguly,4,143,178,8,8,17.875,80.33707865168539
SC Ganguly,5,46,34,1,1,46.0,135.29411764705884
SC Ganguly,7,36,36,1,1,36.0,100.0
SD Chitnis,5,55,54,3,3,18.333333333333332,101.85185185185186
SD Chitnis,6,11,14,1,1,11.0,78.57142857142857
SD Chitnis,7,18,18,2,3,9.0,100.0
SD Chitnis,8,15,6,1,1,15.0,250.0
SD Hope,2,38,29,1,1,38.0,131.0344827586207
SD Hope,3,94,53,3,4,31.333333333333332,177.35849056603774
SD Hope,4,40,33,4,3,10.0,121.21212121212122
SD Hope,6,11,10,0,1,11.0,110.00000000000001
SD Lad,2,15,13,1,1,15.0,115.38461538461537
SE Bond,9,1,2,1,1,1.0,50.0
SE Marsh,1,652,490,12,13,54.333333333333336,133.0612244897959
SE Marsh,2,472,408,14,17,33.714285714285715,115.68627450980394
SE Marsh,3,1273,941,36,36,35.361111111111114,135.28161530286928
SE Marsh,4,92,74,3,3,30.666666666666668,124.32432432432432
SE Rutherford,4,28,40,1,1,28.0,70.0
SE Rutherford,5,11,5,1,1,11.0,220.00000000000003
SE Rutherford,6,44,32,2,3,22.0,137.5
SE Rutherford,7,23,30,3,4,7.666666666666667,76.66666666666667
SH Johnson,10,5,6,0,2,5.0,83.33333333333334
SH Johnson,11,1,1,0,1,1.0,100.0
SJ Srivastava,10,4,3,0,2,4.0,133.33333333333331
SJ Srivastava,11,1,2,1,2,1.0,50.0
SK Raina,2,400,305,16,16,25.0,131.14754098360655
SK Raina,3,4317,3215,129,148,33.46511627906977,134.27682737169516
SK Raina,4,726,592,20,29,36.3,122.63513513513513
SK Raina,5,90,61,3,6,30.0,147.54098360655738
SK Raina,6,3,4,0,1,3.0,75.0
SK Trivedi,9,6,11,0,1,6.0,54.54545454545454
SK Trivedi,10,17,28,4,7,4.25,60.71428571428571
SK Trivedi,11,19,22,4,6,4.75,86.36363636363636
SK Warne,6,21,19,2,2,10.5,110.5263157894737
SK Warne,7,50,46,5,5,10.0,108.69565217391303
SK Warne,8,77,91,6,12,12.833333333333334,84.61538461538461
SK Warne,9,44,58,4,6,11.0,75.86206896551724
SK Warne,10,6,5,2,2,3.0,120.0
SL Malinga,8,0,1,0,1,0.0,0.0
SL Malinga,9,72,82,8,12,9.0,87.8048780487805
SL Malinga,10,8,15,2,3,4.0,53.333333333333336
SL Malinga,11,8,5,2,4,4.0,160.0
SM Curran,1,79,78,5,5,15.8,101.28205128205127
SM Curran,3,20,10,1,1,20.0,200.0
SM Curran,4,120,94,5,5,24.0,127.65957446808511
SM Curran,5,255,203,7,11,36.42857142857143,125.61576354679802
SM Curran,6,256,180,11,16,23.272727272727273,142.22222222222223
SM Curran,7,105,84,5,7,21.0,125.0
SM Curran,8,48,24,2,3,24.0,200.0
SM Harwood,9,9,14,0,2,9.0,64.28571428571429
SM Katich,2,123,102,7,6,17.571428571428573,120.58823529411764
SM Katich,3,87,59,2,3,43.5,147.45762711864407
SM Katich,4,10,13,1,1,10.0,76.92307692307693
SM Katich,5,21,17,0,1,21.0,123.52941176470588
SM Pollock,4,17,18,1,1,17.0,94.44444444444444
SM Pollock,5,31,31,1,1,31.0,100.0
SM Pollock,6,38,38,4,4,9.5,100.0
SM Pollock,7,61,29,2,2,30.5,210.3448275862069
SMSM Senanayake,6,0,1,0,1,0.0,0.0
SMSM Senanayake,8,7,13,0,1,7.0,53.84615384615385
SMSM Senanayake,9,3,3,1,2,3.0,100.0
SN Khan,3,45,36,3,4,15.0,125.0
SN Khan,4,224,197,8,8,28.0,113.70558375634519
SN Khan,5,74,58,4,8,18.5,127.58620689655173
SN Khan,6,201,135,11,12,18.272727272727273,148.88888888888889
SN Khan,7,41,30,3,4,13.666666666666666,136.66666666666666
SN Thakur,3,0,4,1,1,0.0,0.0
SN Thakur,4,0,2,1,1,0.0,0.0
SN Thakur,5,13,11,1,1,13.0,118.18181818181819
SN Thakur,7,150,79,7,8,21.428571428571427,189.873417721519
SN Thakur,8,89,84,11,13,8.090909090909092,105.95238095238095
SN Thakur,9,35,37,2,7,17.5,94.5945945945946
SN Thakur,10,20,11,0,4,20.0,181.8181818181818
SO Hetmyer,2,9,9,1,1,9.0,100.0
SO Hetmyer,3,7,13,1,1,7.0,53.84615384615385
SO Hetmyer,4,176,128,4,9,44.0,137.5
SO Hetmyer,5,457,323,17,25,26.88235294117647,141.4860681114551
SO Hetmyer,6,460,278,11,20,41.81818181818182,165.46762589928056
SO Hetmyer,7,134,103,6,9,22.333333333333332,130.0970873786408
SP Fleming,2,181,148,6,7,30.166666666666668,122.2972972972973
SP Fleming,3,15,23,3,3,5.0,65.21739130434783
SP Goswami,1,5,5,1,1,5.0,100.0
SP Goswami,2,145,161,8,9,18.125,90.06211180124224
SP Goswami,3,97,90,7,6,13.857142857142858,107.77777777777777
SP Goswami,4,25,24,2,2,12.5,104.16666666666667
SP Goswami,7,18,22,0,1,18.0,81.81818181818183
SP Goswami,8,3,5,2,2,1.5,60.0
SP Jackson,3,10,9,1,1,10.0,111.11111111111111
SP Jackson,5,12,5,0,1,12.0,240.0
SP Jackson,6,34,35,3,4,11.333333333333334,97.14285714285714
SP Jackson,7,5,8,2,2,2.5,62.5
SP Narine,1,272,159,14,15,19.428571428571427,171.0691823899371
SP Narine,2,913,541,34,35,26.852941176470587,168.76155268022183
SP Narine,3,39,36,4,4,9.75,108.33333333333333
SP Narine,4,40,41,8,8,5.0,97.5609756097561
SP Narine,5,117,73,6,7,19.5,160.27397260273972
SP Narine,6,6,6,1,1,6.0,100.0
SP Narine,7,53,35,6,6,8.833333333333334,151.42857142857142
SP Narine,8,35,29,5,12,7.0,120.6896551724138
SP Narine,9,47,44,4,10,11.75,106.81818181818181
SP Narine,10,10,18,2,7,5.0,55.55555555555556
SP Narine,11,2,2,0,1,2.0,100.0
SPD Smith,1,39,34,1,1,39.0,114.70588235294117
SPD Smith,2,408,314,11,14,37.09090909090909,129.93630573248407
SPD Smith,3,1042,853,30,36,34.733333333333334,122.15709261430246
SPD Smith,4,353,276,14,18,25.214285714285715,127.89855072463767
SPD Smith,5,338,281,12,13,28.166666666666668,120.28469750889678
SPD Smith,6,278,203,9,11,30.88888888888889,136.9458128078818
SPD Smith,7,37,38,1,2,37.0,97.36842105263158
SR Tendulkar,1,107,119,3,4,35.666666666666664,89.91596638655463
SR Tendulkar,2,2037,1747,60,65,33.95,116.59988551803092
SR Tendulkar,3,83,88,5,5,16.6,94.31818181818183
SR Tendulkar,4,107,90,3,4,35.666666666666664,118.88888888888889
SR Watson,1,1479,1113,43,48,34.395348837209305,132.88409703504044
SR Watson,2,648,535,23,23,28.17391304347826,121.1214953271028
SR Watson,3,699,489,19,23,36.78947368421053,142.94478527607362
SR Watson,4,803,548,28,33,28.678571428571427,146.53284671532847
SR Watson,5,241,191,11,13,21.90909090909091,126.17801047120419
SR Watson,6,6,11,2,2,3.0,54.54545454545454
SR Watson,7,4,5,0,1,4.0,80.0
SS Cottrell,10,0,2,1,1,0.0,0.0
SS Iyer,2,731,621,25,26,29.24,117.71336553945248
SS Iyer,3,1195,974,41,45,29.146341463414632,122.68993839835728
SS Iyer,4,912,729,29,35,31.448275862068964,125.10288065843622
SS Iyer,5,263,191,5,7,52.6,137.69633507853402
SS Iyer,6,30,30,2,2,15.0,100.0
SS Prabhudessai,5,37,44,4,4,9.25,84.0909090909091
SS Prabhudessai,6,60,44,3,3,20.0,136.36363636363635
SS Prabhudessai,7,29,25,2,3,14.5,115.99999999999999
SS Shaikh,7,6,7,0,1,6.0,85.71428571428571
SS Tiwary,1,104,94,1,2,104.0,110.63829787234043
SS Tiwary,2,64,64,2,3,32.0,100.0
SS Tiwary,3,252,215,8,9,31.5,117.2093023255814
SS Tiwary,4,489,408,18,20,27.166666666666668,119.85294117647058
SS Tiwary,5,276,247,12,15,23.0,111.74089068825911
SS Tiwary,6,202,181,6,13,33.666666666666664,111.60220994475138
SS Tiwary,7,85,60,1,7,85.0,141.66666666666669
SS Tiwary,8,22,22,2,4,11.0,100.0
ST Jayasuriya,1,614,446,20,22,30.7,137.66816143497758
ST Jayasuriya,2,138,105,8,7,17.25,131.42857142857142
ST Jayasuriya,5,16,22,1,1,16.0,72.72727272727273
STR Binny,4,196,145,10,12,19.6,135.17241379310346
STR Binny,5,288,243,14,20,20.571428571428573,118.5185185185185
STR Binny,6,218,183,7,14,31.142857142857142,119.12568306010928
STR Binny,7,167,120,11,17,15.181818181818182,139.16666666666666
STR Binny,8,8,6,2,2,4.0,133.33333333333331
STR Binny,9,3,3,0,1,3.0,100.0
SV Samson,1,299,212,13,13,23.0,141.03773584905662
SV Samson,2,584,426,19,19,30.736842105263158,137.08920187793427
SV Samson,3,2642,1910,70,82,37.74285714285714,138.32460732984293
