batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
MM Sharma,9,45,63,6,9,7.5,71.42857142857143
MM Sharma,10,35,33,5,11,7.0,106.06060606060606
MM Sharma,11,0,3,0,2,0.0,0.0
MN Samuels,3,53,61,4,3,13.25,86.88524590163934
MN Samuels,4,45,44,2,3,22.5,102.27272727272727
MN Samuels,5,57,59,4,5,14.25,96.61016949152543
MN Samuels,6,1,5,1,1,1.0,20.0
MN Samuels,7,5,5,1,2,5.0,100.0
MN van Wyk,1,74,48,1,1,74.0,154.16666666666669
MN van Wyk,4,32,40,2,2,16.0,80.0
MN van Wyk,5,61,47,0,2,61.0,129.7872340425532
MP Stoinis,1,38,28,2,2,19.0,135.71428571428572
MP Stoinis,2,203,135,4,5,50.75,150.37037037037038
MP Stoinis,3,166,150,9,9,18.444444444444443,110.66666666666667
MP Stoinis,4,409,305,16,20,25.5625,134.0983606557377
MP Stoinis,5,645,467,24,31,26.875,138.11563169164882
MP Stoinis,6,242,176,8,14,30.25,137.5
MP Stoinis,7,114,71,3,5,38.0,160.56338028169014
MP Stoinis,8,49,34,1,2,49.0,144.11764705882354
MR Marsh,2,286,196,7,8,40.857142857142854,145.91836734693877
MR Marsh,3,136,121,11,12,12.363636363636363,112.39669421487604
MR Marsh,4,53,35,2,2,26.5,151.42857142857142
MR Marsh,5,2,4,1,1,2.0,50.0
MR Marsh,6,78,87,6,6,13.0,89.65517241379311
MR Marsh,7,58,51,2,4,29.0,113.72549019607843
MR Marsh,8,52,37,2,2,26.0,140.54054054054055
MR Marsh,10,0,1,1,1,0.0,0.0
MS Bisla,1,414,359,19,20,21.789473684210527,115.32033426183843
MS Bisla,2,199,201,9,10,22.11111111111111,99.00497512437812
MS Bisla,3,178,168,8,8,22.25,105.95238095238095
MS Bisla,7,7,9,1,1,7.0,77.77777777777779
MS Dhoni,3,196,159,6,8,32.666666666666664,123.27044025157232
MS Dhoni,4,1562,1174,50,66,31.24,133.04940374787054
MS Dhoni,5,1953,1391,45,73,43.4,140.4025880661395
MS Dhoni,6,972,839,35,49,27.771428571428572,115.85220500595948
MS Dhoni,7,363,282,9,21,40.333333333333336,128.72340425531914
MS Dhoni,8,197,101,3,10,65.66666666666667,195.04950495049505
MS Dhoni,9,0,1,1,1,0.0,0.0
MS Gony,6,3,4,1,1,3.0,75.0
MS Gony,7,28,31,4,6,7.0,90.32258064516128
MS Gony,8,52,30,4,5,13.0,173.33333333333334
MS Gony,9,16,11,0,3,16.0,145.45454545454547
MS Wade,1,38,36,3,4,12.666666666666666,105.55555555555556
MS Wade,2,35,32,1,1,35.0,109.375
MS Wade,3,99,104,7,7,14.142857142857142,95.1923076923077
MS Wade,4,8,9,1,1,8.0,88.88888888888889
MS Wade,6,3,4,1,1,3.0,75.0
MV Boucher,1,18,15,1,1,18.0,120.0
MV Boucher,3,50,40,1,1,50.0,125.0
MV Boucher,5,39,28,1,3,39.0,139.28571428571428
MV Boucher,6,246,197,7,12,35.142857142857146,124.8730964467005
MV Boucher,7,36,32,4,5,9.0,112.5
MV Boucher,8,5,6,1,1,5.0,83.33333333333334
MW Short,1,11,11,1,1,11.0,100.0
MW Short,2,79,61,4,4,19.75,129.5081967213115
MW Short,3,27,27,1,1,27.0,100.0
Mandeep Singh,1,289,250,14,13,20.642857142857142,115.6
Mandeep Singh,2,443,380,22,24,20.136363636363637,116.57894736842105
Mandeep Singh,3,138,128,11,10,12.545454545454545,107.8125
Mandeep Singh,4,266,195,9,11,29.555555555555557,136.4102564102564
Mandeep Singh,5,332,266,17,18,19.529411764705884,124.81203007518798
Mandeep Singh,6,231,191,11,20,21.0,120.94240837696336
Mandeep Singh,7,7,8,1,1,7.0,87.5
Mashrafe Mortaza,6,2,2,0,1,2.0,100.0
Mayank Dagar,9,0,1,0,1,0.0,0.0
Misbah-ul-Haq,3,55,38,4,4,13.75,144.73684210526315
Misbah-ul-Haq,5,54,36,4,3,13.5,150.0
Misbah-ul-Haq,6,8,8,1,1,8.0,100.0
Mohammad Ashraful,4,2,12,1,1,2.0,16.666666666666664
Mohammad Asif,9,3,5,1,1,3.0,60.0
Mohammad Asif,10,0,1,1,1,0.0,0.0
Mohammad Hafeez,1,13,12,1,1,13.0,108.33333333333333
Mohammad Hafeez,2,10,14,2,2,5.0,71.42857142857143
Mohammad Hafeez,5,10,15,1,2,10.0,66.66666666666666
Mohammad Hafeez,6,31,43,4,3,7.75,72.09302325581395
Mohammad Nabi,3,6,2,1,1,6.0,300.0
Mohammad Nabi,4,35,24,2,3,17.5,145.83333333333331
Mohammad Nabi,5,48,38,3,3,16.0,126.3157894736842
Mohammad Nabi,6,37,18,2,2,18.5,205.55555555555554
Mohammad Nabi,7,83,61,6,7,13.833333333333334,136.0655737704918
Mohammad Nabi,8,12,14,3,4,4.0,85.71428571428571
Mohammed Shami,8,21,9,1,1,21.0,233.33333333333334
Mohammed Shami,9,31,42,6,14,5.166666666666667,73.80952380952381
Mohammed Shami,10,17,24,5,7,3.4,70.83333333333334
Mohammed Shami,11,5,7,1,1,5.0,71.42857142857143
Mohammed Siraj,9,13,15,1,3,13.0,86.66666666666667
