bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Ashish Reddy,71,41,5,3.0,6.833333333333333,10.390243902439025,23.666666666666668,13.666666666666666
A Chandila,158,150,8,6.0,25.0,6.32,26.333333333333332,25.0
A Mishra,395,376,17,24.0,62.666666666666664,6.303191489361702,16.458333333333332,15.666666666666666
A Mithun,37,25,1,1.0,4.166666666666667,8.879999999999999,37.0,25.0
A Nehra,319,221,10,13.0,36.833333333333336,8.660633484162895,24.53846153846154,17.0
AA Chavan,63,56,3,1.0,9.333333333333334,6.75,63.0,56.0
AB Agarkar,93,63,4,0.0,10.5,8.857142857142858,inf,inf
AB Dinda,466,304,13,18.0,50.666666666666664,9.197368421052632,25.88888888888889,16.88888888888889
AB McDonald,17,12,1,1.0,2.0,8.5,17.0,12.0
AC Gilchrist,0,1,1,1.0,0.16666666666666666,0.0,0.0,1.0
AD Mascarenhas,25,24,1,0.0,4.0,6.25,inf,inf
AD Mathews,245,188,10,6.0,31.333333333333332,7.819148936170213,40.833333333333336,31.333333333333332
AD Russell,68,44,3,0.0,7.333333333333333,9.272727272727273,inf,inf
AG Murtaza,96,62,3,3.0,10.333333333333334,9.29032258064516,32.0,20.666666666666668
AJ Finch,49,24,3,1.0,4.0,12.25,49.0,24.0
AM Nayar,59,50,3,2.0,8.333333333333334,7.079999999999999,29.5,25.0
AN Ahmed,45,42,2,3.0,7.0,6.428571428571429,15.0,14.0
AS Rajpoot,37,25,2,1.0,4.166666666666667,8.879999999999999,37.0,25.0
Anand Rajan,43,51,2,2.0,8.5,5.0588235294117645,21.5,25.5
Ankit Sharma,17,12,1,0.0,2.0,8.5,inf,inf
Azhar Mahmood,335,267,11,16.0,44.5,7.52808988764045,20.9375,16.6875
B Kumar,381,359,16,13.0,59.833333333333336,6.367688022284122,29.307692307692307,27.615384615384617
B Laughlin,72,45,2,1.0,7.5,9.6,72.0,45.0
B Lee,89,75,3,4.0,12.5,7.12,22.25,18.75
BA Bhatt,32,31,2,1.0,5.166666666666667,6.193548387096774,32.0,31.0
BAW Mendis,78,72,3,2.0,12.0,6.5,39.0,36.0
BJ Hodge,3,6,1,0.0,1.0,3.0,inf,inf
BJ Rohrer,12,7,1,0.0,1.1666666666666667,10.285714285714285,inf,inf
BMAJ Mendis,36,30,2,1.0,5.0,7.2,36.0,30.0
Bipul Sharma,21,24,1,1.0,4.0,5.25,21.0,24.0
CH Gayle,41,25,4,3.0,4.166666666666667,9.84,13.666666666666666,8.333333333333334
CH Morris,410,309,16,17.0,51.5,7.961165048543689,24.11764705882353,18.176470588235293
CL White,16,12,2,1.0,2.0,8.0,16.0,12.0
DJ Bravo,505,392,18,34.0,65.33333333333333,7.729591836734694,14.852941176470589,11.529411764705882
DJ Hussey,93,68,4,0.0,11.333333333333334,8.205882352941176,inf,inf
DJG Sammy,169,138,9,11.0,23.0,7.3478260869565215,15.363636363636363,12.545454545454545
DP Nannes,165,126,5,5.0,21.0,7.857142857142857,33.0,25.2
DR Smith,59,32,3,2.0,5.333333333333333,11.0625,29.5,16.0
DS Kulkarni,153,119,6,8.0,19.833333333333332,7.714285714285714,19.125,14.875
DT Christian,56,38,2,0.0,6.333333333333333,8.842105263157896,inf,inf
DW Steyn,410,425,17,20.0,70.83333333333333,5.788235294117648,20.5,21.25
GB Hogg,31,21,1,0.0,3.5,8.857142857142858,inf,inf
GH Vihari,39,37,5,1.0,6.166666666666667,6.324324324324324,39.0,37.0
GJ Maxwell,24,12,2,0.0,2.0,12.0,inf,inf
Harbhajan Singh,466,430,19,25.0,71.66666666666667,6.502325581395349,18.64,17.2
Harmeet Singh,123,96,4,7.0,16.0,7.6875,17.571428571428573,13.714285714285714
I Sharma,471,374,16,16.0,62.333333333333336,7.55614973262032,29.4375,23.375
IC Pandey,50,25,2,1.0,4.166666666666667,12.0,50.0,25.0
IK Pathan,391,315,15,11.0,52.5,7.447619047619048,35.54545454545455,28.636363636363637
Iqbal Abdulla,142,113,5,7.0,18.833333333333332,7.539823008849558,20.285714285714285,16.142857142857142
J Botha,114,102,6,5.0,17.0,6.705882352941177,22.8,20.4
J Syed Mohammad,92,62,4,4.0,10.333333333333334,8.903225806451612,23.0,15.5
JA Morkel,167,149,7,8.0,24.833333333333332,6.724832214765101,20.875,18.625
JD Unadkat,373,299,13,13.0,49.833333333333336,7.48494983277592,28.692307692307693,23.0
JDP Oram,28,26,1,0.0,4.333333333333333,6.461538461538462,inf,inf
JH Kallis,407,329,15,19.0,54.833333333333336,7.422492401215806,21.42105263157895,17.31578947368421
JJ Bumrah,74,45,2,3.0,7.5,9.866666666666667,24.666666666666668,15.0
JO Holder,173,125,6,4.0,20.833333333333332,8.304,43.25,31.25
JP Faulkner,436,395,16,33.0,65.83333333333333,6.622784810126583,13.212121212121213,11.969696969696969
K Upadhyay,48,32,2,0.0,5.333333333333333,9.0,inf,inf
KA Pollard,292,197,14,10.0,32.833333333333336,8.893401015228426,29.2,19.7
KK Cooper,456,341,14,22.0,56.833333333333336,8.023460410557185,20.727272727272727,15.5
KV Sharma,235,211,13,12.0,35.166666666666664,6.682464454976304,19.583333333333332,17.583333333333332
KW Richardson,103,73,3,2.0,12.166666666666666,8.465753424657535,51.5,36.5
L Balaji,399,311,13,13.0,51.833333333333336,7.697749196141479,30.692307692307693,23.923076923076923
LJ Wright,101,63,5,2.0,10.5,9.619047619047619,50.5,31.5
LR Shukla,22,18,2,1.0,3.0,7.333333333333333,22.0,18.0
M Kartik,290,241,11,11.0,40.166666666666664,7.219917012448133,26.363636363636363,21.90909090909091
M Morkel,341,247,10,8.0,41.166666666666664,8.2834008097166,42.625,30.875
M Muralitharan,192,141,6,3.0,23.5,8.170212765957446,64.0,47.0
MC Henriques,187,132,8,8.0,22.0,8.5,23.375,16.5
MG Johnson,471,403,17,24.0,67.16666666666667,7.012406947890819,19.625,16.791666666666668
MG Neser,62,25,1,0.0,4.166666666666667,14.879999999999999,inf,inf
MM Patel,138,91,4,3.0,15.166666666666666,9.098901098901099,46.0,30.333333333333332
MM Sharma,327,311,15,21.0,51.833333333333336,6.308681672025723,15.571428571428571,14.80952380952381
MN Samuels,34,25,1,1.0,4.166666666666667,8.16,34.0,25.0
MR Marsh,184,122,7,7.0,20.333333333333332,9.049180327868854,26.285714285714285,17.428571428571427
MS Gony,261,175,8,7.0,29.166666666666668,8.948571428571428,37.285714285714285,25.0
Mohammed Shami,79,57,3,1.0,9.5,8.31578947368421,79.0,57.0
NLTC Perera,490,369,16,21.0,61.5,7.967479674796748,23.333333333333332,17.571428571428573
NM Coulter-Nile,29,25,1,1.0,4.166666666666667,6.959999999999999,29.0,25.0
P Awana,416,332,14,16.0,55.333333333333336,7.518072289156626,26.0,20.75
P Kumar,394,354,15,13.0,59.0,6.677966101694915,30.307692307692307,27.23076923076923
P Negi,28,26,1,0.0,4.333333333333333,6.461538461538462,inf,inf
P Suyal,22,19,1,1.0,3.1666666666666665,6.947368421052632,22.0,19.0
PJ Sangwan,52,26,2,0.0,4.333333333333333,12.0,inf,inf
PP Chawla,433,352,16,11.0,58.666666666666664,7.380681818181818,39.36363636363637,32.0
PP Ojha,391,318,15,18.0,53.0,7.377358490566038,21.72222222222222,17.666666666666668
PV Tambe,91,69,3,1.0,11.5,7.913043478260869,91.0,69.0
Parvez Rasool,29,30,2,1.0,5.0,5.8,29.0,30.0
R Ashwin,397,354,18,16.0,59.0,6.728813559322034,24.8125,22.125
R Bhatia,334,266,15,11.0,44.333333333333336,7.533834586466165,30.363636363636363,24.181818181818183
R Dhawan,115,95,5,2.0,15.833333333333334,7.263157894736842,57.5,47.5
R McLaren,95,46,2,4.0,7.666666666666667,12.391304347826086,23.75,11.5
R Rampaul,282,241,10,15.0,40.166666666666664,7.020746887966806,18.8,16.066666666666666
R Sathish,52,24,3,1.0,4.0,13.0,52.0,24.0
R Sharma,282,247,11,9.0,41.166666666666664,6.850202429149798,31.333333333333332,27.444444444444443
R Shukla,80,53,3,4.0,8.833333333333334,9.056603773584905,20.0,13.25
R Vinay Kumar,522,377,16,27.0,62.833333333333336,8.307692307692307,19.333333333333332,13.962962962962964
RA Jadeja,326,262,15,15.0,43.666666666666664,7.465648854961833,21.733333333333334,17.466666666666665
RE van der Merwe,71,67,3,4.0,11.166666666666666,6.358208955223881,17.75,16.75
RG Sharma,6,9,2,0.0,1.5,4.0,inf,inf
RJ Harris,74,74,3,1.0,12.333333333333334,6.0,74.0,74.0
RN ten Doeschate,24,18,3,0.0,3.0,8.0,inf,inf
RP Singh,336,251,11,14.0,41.833333333333336,8.03187250996016,24.0,17.928571428571427
RV Gomez,5,6,1,1.0,1.0,5.0,5.0,6.0
S Badree,35,25,1,0.0,4.166666666666667,8.399999999999999,inf,inf
S Kaul,172,133,6,5.0,22.166666666666668,7.7593984962406015,34.4,26.6
S Ladda,18,12,1,1.0,2.0,9.0,18.0,12.0
S Nadeem,264,267,12,9.0,44.5,5.932584269662922,29.333333333333332,29.666666666666668
S Narwal,17,14,1,0.0,2.3333333333333335,7.285714285714286,inf,inf
S Sreesanth,171,136,7,6.0,22.666666666666668,7.544117647058823,28.5,22.666666666666668
SK Raina,23,12,2,1.0,2.0,11.5,23.0,12.0
SK Trivedi,425,368,17,12.0,61.333333333333336,6.929347826086956,35.416666666666664,30.666666666666668
SL Malinga,484,402,17,23.0,67.0,7.223880597014926,21.043478260869566,17.47826086956522
SMSM Senanayake,211,195,8,9.0,32.5,6.492307692307692,23.444444444444443,21.666666666666668
SP Narine,353,387,16,26.0,64.5,5.4728682170542635,13.576923076923077,14.884615384615385
SR Watson,319,256,13,16.0,42.666666666666664,7.4765625,19.9375,16.0
STR Binny,163,149,14,7.0,24.833333333333332,6.5637583892617455,23.285714285714285,21.285714285714285
SW Tait,103,70,3,1.0,11.666666666666666,8.82857142857143,103.0,70.0
Sandeep Sharma,130,98,4,8.0,16.333333333333332,7.959183673469388,16.25,12.25
TL Suman,16,12,1,1.0,2.0,8.0,16.0,12.0
TM Dilshan,10,6,1,0.0,1.0,10.0,inf,inf
UT Yadav,533,369,16,20.0,61.5,8.666666666666666,26.65,18.45
V Sehwag,9,6,1,0.0,1.0,9.0,inf,inf
VS Malik,59,61,3,2.0,10.166666666666666,5.803278688524591,29.5,30.5
WD Parnell,141,97,4,7.0,16.166666666666668,8.721649484536082,20.142857142857142,13.857142857142858
YK Pathan,74,55,5,1.0,9.166666666666666,8.072727272727274,74.0,55.0
YS Chahal,35,24,1,0.0,4.0,8.75,inf,inf
Yuvraj Singh,152,133,10,6.0,22.166666666666668,6.857142857142857,25.333333333333332,22.166666666666668
Z Khan,47,38,2,5.0,6.333333333333333,7.421052631578948,9.4,7.6
