match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2009_47,2009,2009-05-17,DD,RR,OUTsurance Oval,Bloemfontein,DD,bat,DD,14,0,AB de Villiers,47,runs,14
2009_48,2009,2009-05-17,SRH,KXIP,New Wanderers Stadium,Johannesburg,SRH,field,KXIP,1,0,Yuvraj Singh,48,runs,1
2009_52,2009,2009-05-20,CSK,KXIP,Kingsmead,Durban,CSK,bat,CSK,24,0,M Muralitharan,52,runs,24
2009_53,2009,2009-05-21,RCB,SRH,SuperSport Park,Centurion,RCB,bat,RCB,12,0,MK Pandey,53,runs,12
2009_57,2009,2009-05-24,RCB,SRH,New Wanderers Stadium,Johannesburg,RCB,field,SRH,6,0,A Kumble,57,runs,6
2010_01,2010,2010-03-12,SRH,KKR,Dr DY Patil Sports Academy,Mumbai,SRH,field,KKR,11,0,AD Mathews,1,runs,11
2010_02,2010,2010-03-13,MI,RR,Brabourne Stadium,Mumbai,MI,bat,MI,4,0,YK Pathan,2,runs,4
2010_04,2010,2010-03-14,CSK,SRH,MA Chidambaram Stadium,Chennai,SRH,bat,SRH,31,0,WPUJC Vaas,4,runs,31
2010_07,2010,2010-03-16,KKR,CSK,Eden Gardens,Kolkata,CSK,bat,CSK,55,0,MS Dhoni,7,runs,55
2010_09,2010,2010-03-17,DD,MI,Arun Jaitley Stadium,Delhi,DD,field,MI,98,0,SR Tendulkar,9,runs,98
2010_11,2010,2010-03-19,SRH,KXIP,Barabati Stadium,Cuttack,KXIP,field,SRH,6,0,A Symonds,11,runs,6
2010_14,2010,2010-03-20,RR,KKR,Narendra Modi Stadium,Ahmedabad,RR,bat,RR,34,0,AA Jhunjhunwala,14,runs,34
2010_15,2010,2010-03-21,SRH,DD,Barabati Stadium,Cuttack,SRH,bat,SRH,10,0,A Symonds,15,runs,10
2010_18,2010,2010-03-23,RCB,CSK,M Chinnaswamy Stadium,Bangalore,CSK,field,RCB,36,0,RV Uthappa,18,runs,36
2010_19,2010,2010-03-24,KXIP,RR,PCA IS Bindra Stadium,Chandigarh,KXIP,field,RR,31,0,AC Voges,19,runs,31
2010_21,2010,2010-03-25,RCB,DD,M Chinnaswamy Stadium,Bangalore,RCB,field,DD,17,0,KM Jadhav,21,runs,17
2010_23,2010,2010-03-27,KXIP,KKR,PCA IS Bindra Stadium,Chandigarh,KKR,bat,KKR,39,0,MK Tiwary,23,runs,39
2010_24,2010,2010-03-28,SRH,MI,Dr DY Patil Sports Academy,Mumbai,SRH,field,MI,41,0,Harbhajan Singh,24,runs,41
2010_25,2010,2010-03-28,RR,CSK,Narendra Modi Stadium,Ahmedabad,RR,bat,RR,17,0,NV Ojha,25,runs,17
2010_26,2010,2010-03-29,DD,KKR,Arun Jaitley Stadium,Delhi,DD,bat,DD,40,0,DA Warner,26,runs,40
2010_29,2010,2010-03-31,DD,RR,Arun Jaitley Stadium,Delhi,DD,bat,DD,67,0,KD Karthik,29,runs,67
2010_30,2010,2010-04-01,KKR,SRH,Eden Gardens,Kolkata,KKR,bat,KKR,24,0,SC Ganguly,30,runs,24
2010_32,2010,2010-04-03,CSK,RR,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,23,0,M Vijay,32,runs,23
2010_33,2010,2010-04-03,MI,SRH,Brabourne Stadium,Mumbai,MI,bat,MI,63,0,AT Rayudu,33,runs,63
2010_34,2010,2010-04-04,DD,RCB,Arun Jaitley Stadium,Delhi,DD,bat,DD,37,0,PD Collingwood,34,runs,37
2010_36,2010,2010-04-05,SRH,RR,VCA Stadium,Nagpur,RR,bat,RR,2,0,SK Warne,36,runs,2
2010_37,2010,2010-04-06,CSK,MI,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,24,0,SK Raina,37,runs,24
2010_38,2010,2010-04-07,KKR,DD,Eden Gardens,Kolkata,KKR,bat,KKR,14,0,SC Ganguly,38,runs,14
2010_45,2010,2010-04-11,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,field,MI,37,0,SR Tendulkar,45,runs,37
2010_46,2010,2010-04-12,SRH,RCB,VCA Stadium,Nagpur,RCB,field,SRH,13,0,Harmeet Singh,46,runs,13
2010_47,2010,2010-04-13,MI,DD,Brabourne Stadium,Mumbai,MI,bat,MI,39,0,KA Pollard,47,runs,39
2010_52,2010,2010-04-17,RCB,MI,M Chinnaswamy Stadium,Bangalore,RCB,field,MI,57,0,R McLaren,52,runs,57
2010_54,2010,2010-04-18,DD,SRH,Arun Jaitley Stadium,Delhi,SRH,bat,SRH,11,0,A Symonds,54,runs,11
2010_57,2010,2010-04-21,RCB,MI,Dr DY Patil Sports Academy,Mumbai,MI,bat,MI,35,0,KA Pollard,57,runs,35
2010_58,2010,2010-04-22,CSK,SRH,Dr DY Patil Sports Academy,Mumbai,CSK,bat,CSK,38,0,DE Bollinger,58,runs,38
2010_60,2010,2010-04-25,CSK,MI,Dr DY Patil Sports Academy,Mumbai,CSK,bat,CSK,22,0,SK Raina,60,runs,22
2011_01,2011,2011-04-08,CSK,KKR,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,2,0,S Anirudha,1,runs,2
2011_06,2011,2011-04-11,KKR,SRH,Eden Gardens,Kolkata,KKR,bat,KKR,9,0,JH Kallis,6,runs,9
2011_11,2011,2011-04-14,SRH,RCB,Rajiv Gandhi Intl. Stadium,Hyderabad,RCB,field,SRH,33,0,DW Steyn,11,runs,33
2011_15,2011,2011-04-16,CSK,RCB,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,21,0,MEK Hussey,15,runs,21
2011_19,2011,2011-04-19,DD,SRH,Arun Jaitley Stadium,Delhi,SRH,bat,SRH,16,0,S Sohal,19,runs,16
2011_20,2011,2011-04-20,KKR,KTK,Eden Gardens,Kolkata,KKR,field,KTK,6,0,DPMD Jayawardene,20,runs,6
2011_22,2011,2011-04-21,KXIP,RR,PCA IS Bindra Stadium,Chandigarh,RR,field,KXIP,48,0,SE Marsh,22,runs,48
2011_24,2011,2011-04-22,MI,CSK,Wankhede Stadium,Mumbai,CSK,field,MI,8,0,Harbhajan Singh,24,runs,8
2011_25,2011,2011-04-23,DD,KXIP,Arun Jaitley Stadium,Delhi,KXIP,field,DD,29,0,DA Warner,25,runs,29
2011_27,2011,2011-04-24,SRH,MI,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,field,MI,37,0,SL Malinga,27,runs,37
2011_28,2011,2011-04-25,CSK,PW,MA Chidambaram Stadium,Chennai,PW,field,CSK,25,0,MEK Hussey,28,runs,25
2011_30,2011,2011-04-27,KTK,SRH,Nehru Stadium,Kochi,KTK,field,SRH,55,0,I Sharma,30,runs,55
2011_32,2011,2011-04-28,DD,KKR,Arun Jaitley Stadium,Delhi,DD,field,KKR,17,0,MK Tiwary,32,runs,17
2011_33,2011,2011-04-29,RCB,PW,M Chinnaswamy Stadium,Bangalore,PW,field,RCB,26,0,V Kohli,33,runs,26
2011_36,2011,2011-04-30,KTK,DD,Nehru Stadium,Kochi,DD,bat,DD,38,0,V Sehwag,36,runs,38
2011_37,2011,2011-05-01,CSK,SRH,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,19,0,JA Morkel,37,runs,19
