,runs,wickets,batting_sr,bowling_economy
BA Stokes,196.0,9.0,118.07228915662651,7.939655172413794
AD Russell,316.0,13.0,176.53631284916202,9.03765690376569
Shakib Al Hasan,239.0,16.0,117.73399014778325,7.965217391304348
HH Pandya,260.0,19.0,126.82926829268293,8.688888888888888
DJ Bravo,141.0,18.0,151.61290322580646,9.550295857988166
K Gowtham,126.0,12.0,188.05970149253733,7.89344262295082
SR Watson,555.0,7.0,150.81521739130434,8.590909090909092
R Ashwin,102.0,11.0,134.21052631578948,7.853503184713375
GJ Maxwell,169.0,5.0,138.52459016393445,8.081632653061225
KH Pandya,228.0,14.0,139.02439024390242,7.024390243902439
SP Narine,357.0,17.0,180.3030303030303,7.649595687331536
