,matches,wins,losses,points,nrr,runs,wickets
SRH,17,11,6,22,0.0,0,0
RCB,16,9,7,18,0.0,0,0
GL,16,9,7,18,0.0,0,0
KKR,15,8,7,16,0.0,0,0
MI,14,7,7,14,0.0,0,0
DD,14,7,7,14,0.0,0,0
RPS,14,5,9,10,0.0,0,0
KXIP,14,4,10,8,0.0,0,0
