bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
SD Chitnis,62,38,2,2.0,6.333333333333333,9.789473684210527,31.0,19.0
SK Raina,30,20,2,2.0,3.3333333333333335,9.0,15.0,10.0
SK Trivedi,407,300,15,15.0,50.0,8.14,27.133333333333333,20.0
SK Warne,409,319,15,20.0,53.166666666666664,7.692789968652038,20.45,15.95
SM Pollock,307,280,13,13.0,46.666666666666664,6.578571428571429,23.615384615384617,21.53846153846154
SR Watson,395,344,15,20.0,57.333333333333336,6.88953488372093,19.75,17.2
ST Jayasuriya,163,127,8,5.0,21.166666666666668,7.700787401574803,32.6,25.4
Shahid Afridi,237,185,10,9.0,30.833333333333332,7.686486486486487,26.333333333333332,20.555555555555557
Shoaib Akhtar,54,46,3,5.0,7.666666666666667,7.0434782608695645,10.8,9.2
Shoaib Malik,87,58,5,2.0,9.666666666666666,9.0,43.5,29.0
Sohail Tanvir,275,265,11,24.0,44.166666666666664,6.226415094339623,11.458333333333334,11.041666666666666
TM Dilshan,3,6,1,1.0,1.0,3.0,3.0,6.0
Umar Gul,198,153,6,14.0,25.5,7.764705882352941,14.142857142857142,10.928571428571429
V Kohli,62,49,4,2.0,8.166666666666666,7.591836734693878,31.0,24.5
V Sehwag,134,67,7,3.0,11.166666666666666,12.0,44.666666666666664,22.333333333333332
VRV Singh,425,296,13,15.0,49.333333333333336,8.614864864864865,28.333333333333332,19.733333333333334
VS Yeligati,61,32,2,0.0,5.333333333333333,11.4375,inf,inf
VY Mahesh,380,266,11,17.0,44.333333333333336,8.571428571428571,22.352941176470587,15.647058823529411
WA Mota,36,20,2,1.0,3.3333333333333335,10.799999999999999,36.0,20.0
WPUJC Vaas,146,103,5,6.0,17.166666666666668,8.504854368932039,24.333333333333332,17.166666666666668
Y Venugopal Rao,137,88,7,3.0,14.666666666666666,9.340909090909092,45.666666666666664,29.333333333333332
YK Pathan,233,170,13,10.0,28.333333333333332,8.223529411764707,23.3,17.0
Yuvraj Singh,85,56,6,3.0,9.333333333333334,9.107142857142856,28.333333333333332,18.666666666666668
Z Khan,369,258,11,15.0,43.0,8.581395348837209,24.6,17.2
