type,description,winner,margin
Highest Scoring Match,MI vs RCB,RCB,431 runs total
Closest Run Victory,CSK vs DD,CSK,1 runs
Closest Wicket Victory,KKR vs KXIP,KKR,1 wickets
Most Sixes in a Match,CSK vs SRH,CSK,21 sixes
