match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number
2008_29,2008,2008-05-08,DC,CSK,Arun Jaitley Stadium,Delhi,CSK,field,CSK,0,4,MS Dhoni,29
2008_28,2008,2008-05-08,KKR,RCB,Eden Gardens,Kolkata,KKR,bat,KKR,5,0,SC Ganguly,28
2008_30,2008,2008-05-09,RR,DCH,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,8,YK Pathan,30
2008_31,2008,2008-05-10,CSK,PBKS,MA Chidambaram Stadium,Chennai,PBKS,field,CSK,18,0,L Balaji,31
2008_32,2008,2008-05-11,DCH,KKR,Rajiv Gandhi Stadium,Hyderabad,KKR,bat,KKR,23,0,SC Ganguly,32
2008_33,2008,2008-05-11,RR,DC,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,3,SR Watson,33
2008_34,2008,2008-05-12,PBKS,RCB,PCA Stadium,Chandigarh,RCB,bat,PBKS,0,9,SE Marsh,34
2008_35,2008,2008-05-13,KKR,DC,Eden Gardens,Kolkata,KKR,bat,KKR,23,0,Shoaib Akhtar,35
2008_36,2008,2008-05-14,MI,CSK,Wankhede Stadium,Mumbai,MI,field,MI,0,9,ST Jayasuriya,36
2008_37,2008,2008-05-15,DC,DCH,Arun Jaitley Stadium,Delhi,DCH,field,DC,12,0,A Mishra,37
2008_38,2008,2008-05-16,MI,KKR,Wankhede Stadium,Mumbai,MI,field,MI,0,8,SM Pollock,38
2008_39,2008,2008-05-17,DC,PBKS,Arun Jaitley Stadium,Delhi,DC,bat,PBKS,6,0,DPMD Jayawardene,39
2008_40,2008,2008-05-17,RR,RCB,Sawai Mansingh Stadium,Jaipur,RCB,field,RR,65,0,GC Smith,40
2008_42,2008,2008-05-18,DCH,MI,Rajiv Gandhi Stadium,Hyderabad,DCH,field,MI,25,0,DJ Bravo,42
2008_41,2008,2008-05-18,KKR,CSK,Eden Gardens,Kolkata,KKR,bat,CSK,3,0,M Ntini,41
2008_43,2008,2008-05-19,RCB,DC,M Chinnaswamy Stadium,Bangalore,DC,field,DC,0,5,SP Goswami,43
2008_44,2008,2008-05-20,KKR,RR,Eden Gardens,Kolkata,RR,field,RR,0,6,YK Pathan,44
2008_45,2008,2008-05-21,MI,PBKS,Wankhede Stadium,Mumbai,MI,field,PBKS,1,0,SE Marsh,45
2008_46,2008,2008-05-21,CSK,RCB,MA Chidambaram Stadium,Chennai,RCB,bat,RCB,14,0,A Kumble,46
2008_47,2008,2008-05-23,PBKS,DCH,PCA Stadium,Chandigarh,PBKS,field,PBKS,0,6,SE Marsh,47
2008_48,2008,2008-05-24,DC,MI,Arun Jaitley Stadium,Delhi,DC,field,DC,0,5,KD Karthik,48
2008_49,2008,2008-05-24,CSK,RR,MA Chidambaram Stadium,Chennai,RR,bat,RR,10,0,JA Morkel,49
2008_50,2008,2008-05-25,DCH,RCB,Rajiv Gandhi Stadium,Hyderabad,DCH,bat,RCB,0,5,R Vinay Kumar,50
2008_51,2008,2008-05-25,KKR,PBKS,Eden Gardens,Kolkata,PBKS,bat,KKR,0,3,Umar Gul,51
2008_52,2008,2008-05-26,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,5,Sohail Tanvir,52
2008_53,2008,2008-05-27,DCH,CSK,Rajiv Gandhi Stadium,Hyderabad,DCH,bat,CSK,0,7,SK Raina,53
2008_54,2008,2008-05-28,PBKS,RR,PCA Stadium,Chandigarh,RR,field,PBKS,41,0,SE Marsh,54
2008_55,2008,2008-05-28,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,MI,0,9,CRD Fernando,55
2008_56,2008,2008-05-30,DC,RR,Wankhede Stadium,Mumbai,DC,field,RR,105,0,SR Watson,56
2008_57,2008,2008-05-31,CSK,PBKS,Wankhede Stadium,Mumbai,PBKS,bat,CSK,0,9,M Ntini,57
2008_58,2008,2008-06-01,CSK,RR,Dr DY Patil Sports Academy,Mumbai,RR,field,RR,0,3,YK Pathan,58
